Year,BreweryCat,AnnualCraftProductionAmount
2017,Contract,258197
2017,Regional,17744740
2017,Microbrewery,5508641
2017,Taproom,
2017,Brewpub,1446982
2018,Contract,287402
2018,Regional,17751883
2018,Microbrewery,5913143
2018,Taproom,
2018,Brewpub,1505001
2019,Contract,309301
2019,Regional,17739809
2019,Microbrewery,4915195
2019,Taproom,1676346
2019,Brewpub,1679130
2020,Contract,324524
2020,Regional,15425589
2020,Microbrewery,4113685
2020,Taproom,1664315
2020,Brewpub,1310071
2021,Contract,228440
2021,Regional,16539816
2021,Microbrewery,4465081
2021,Taproom,1932539
2021,Brewpub,1580950
2022,Contract,230510
2022,Regional,15864552
2022,Microbrewery,4245324
2022,Taproom,2227252
2022,Brewpub,1705646
