StateID,Year,AnnualCraftStateProdAmount
AL,2017,62738
AK,2017,204302
AZ,2017,147728
AR,2017,42294
CA,2017,3285525
CO,2017,1523204
CT,2017,166848
DE,2017,292741
DC,2017,33025
FL,2017,1408032
GA,2017,408798
HI,2017,69561
ID,2017,90318
IL,2017,385874
IN,2017,240063
IA,2017,78946
KS,2017,46725
KY,2017,125302
LA,2017,215168
ME,2017,319590
MD,2017,293298
MA,2017,584895
MI,2017,873995
MN,2017,650974
MS,2017,30254
MO,2017,372840
MT,2017,188449
NE,2017,53655
NV,2017,64621
NH,2017,103329
NJ,2017,139562
NM,2017,116023
NY,2017,1211494
NC,2017,1211393
ND,2017,12848
OH,2017,1355279
OK,2017,52807
OR,2017,1078391
PA,2017,3724010
RI,2017,26295
SC,2017,108211
SD,2017,14057
TN,2017,253782
TX,2017,1156536
UT,2017,206529
VT,2017,292479
VA,2017,358903
WA,2017,510682
WV,2017,12989
WI,2017,1029916
WY,2017,45401
AL,2018,76640
AK,2018,206940
AZ,2018,173226
AR,2018,41490
CA,2018,3477217
CO,2018,1508825
CT,2018,209879
DE,2018,309269
DC,2018,33780
FL,2018,1374344
GA,2018,447096
HI,2018,77614
ID,2018,88064
IL,2018,401088
IN,2018,249324
IA,2018,118415
KS,2018,47996
KY,2018,115714
LA,2018,230258
ME,2018,350049
MD,2018,292596
MA,2018,609684
MI,2018,870027
MN,2018,618756
MS,2018,26123
MO,2018,361807
MT,2018,203510
NE,2018,52691
NV,2018,71692
NH,2018,107304
NJ,2018,142208
NM,2018,126076
NY,2018,1255317
NC,2018,1230413
ND,2018,16763
OH,2018,1353352
OK,2018,67542
OR,2018,1021085
PA,2018,3705890
RI,2018,47824
SC,2018,97114
SD,2018,18008
TN,2018,183808
TX,2018,1153817
UT,2018,193030
VT,2018,333827
VA,2018,312593
WA,2018,570353
WV,2018,18566
WI,2018,867663
WY,2018,52787
AL,2019,85480
AK,2019,203657
AZ,2019,204885
AR,2019,46934
CA,2019,3785497
CO,2019,1555813
CT,2019,228981
DE,2019,317401
DC,2019,36659
