StateID,Year,StateTTBPermitCount
AL,2017,52
AK,2017,45
AZ,2017,130
AR,2017,44
CA,2017,1106
CO,2017,448
CT,2017,103
DE,2017,33
DC,2017,13
FL,2017,338
GA,2017,102
HI,2017,28
ID,2017,76
IL,2017,291
IN,2017,213
IA,2017,115
KS,2017,53
KY,2017,73
LA,2017,43
ME,2017,131
MD,2017,116
MA,2017,189
MI,2017,452
MN,2017,214
MS,2017,16
MO,2017,145
MT,2017,98
NE,2017,53
NV,2017,46
NH,2017,88
NJ,2017,123
NM,2017,110
NY,2017,471
NC,2017,330
ND,2017,22
OH,2017,324
OK,2017,43
OR,2017,347
PA,2017,411
RI,2017,27
SC,2017,84
SD,2017,28
TN,2017,120
TX,2017,333
UT,2017,39
VT,2017,84
VA,2017,287
WA,2017,499
WV,2017,27
WI,2017,261
WY,2017,39
AL,2018,55
AK,2018,51
AZ,2018,146
AR,2018,53
CA,2018,1236
CO,2018,500
CT,2018,124
DE,2018,38
DC,2018,13
FL,2018,386
GA,2018,121
HI,2018,38
ID,2018,87
IL,2018,338
IN,2018,234
IA,2018,125
KS,2018,64
KY,2018,86
LA,2018,47
ME,2018,165
MD,2018,141
MA,2018,230
MI,2018,510
MN,2018,239
MS,2018,19
MO,2018,168
MT,2018,108
NE,2018,60
NV,2018,50
NH,2018,106
NJ,2018,146
NM,2018,124
NY,2018,532
NC,2018,387
ND,2018,26
OH,2018,377
OK,2018,55
OR,2018,386
PA,2018,472
RI,2018,33
SC,2018,94
SD,2018,35
TN,2018,140
TX,2018,387
UT,2018,46
VT,2018,90
VA,2018,328
WA,2018,540
WV,2018,32
WI,2018,303
WY,2018,44
AL,2019,66
AK,2019,59
AZ,2019,157
AR,2019,58
CA,2019,1370
CO,2019,544
CT,2019,149
DE,2019,43
DC,2019,15
FL,2019,464
GA,2019,158
HI,2019,43
ID,2019,101
IL,2019,372
IN,2019,261
IA,2019,137
KS,2019,78
KY,2019,105
LA,2019,60
ME,2019,186
MD,2019,159
MA,2019,268
MI,2019,577
MN,2019,267
MS,2019,22
MO,2019,192
MT,2019,121
NE,2019,67
NV,2019,65
NH,2019,125
NJ,2019,175
NM,2019,143
NY,2019,618
NC,2019,443
ND,2019,29
OH,2019,437
OK,2019,76
OR,2019,406
PA,2019,560
RI,2019,40
SC,2019,115
SD,2019,45
TN,2019,174
TX,2019,466
UT,2019,54
VT,2019,100
VA,2019,383
WA,2019,600
WV,2019,34
WI,2019,346
WY,2019,51
AL,2020,68
AK,2020,66
AZ,2020,170
AR,2020,70
CA,2020,1465
CO,2020,561
CT,2020,162
DE,2020,47
DC,2020,17
FL,2020,500
GA,2020,186
HI,2020,44
ID,2020,118
IL,2020,405
IN,2020,277
IA,2020,149
KS,2020,78
KY,2020,118
LA,2020,68
ME,2020,197
MD,2020,176
MA,2020,293
MI,2020,605
MN,2020,286
MS,2020,25
MO,2020,212
MT,2020,128
NE,2020,73
NV,2020,71
NH,2020,135
NJ,2020,186
NM,2020,151
NY,2020,666
NC,2020,491
ND,2020,31
OH,2020,482
OK,2020,88
OR,2020,428
PA,2020,619
RI,2020,51
SC,2020,131
SD,2020,58
TN,2020,196
TX,2020,526
UT,2020,54
VT,2020,106
VA,2020,420
WA,2020,627
WV,2020,35
WI,2020,365
WY,2020,51
AL,2021,77
AK,2021,72
AZ,2021,179
AR,2021,76
CA,2021,1524
CO,2021,586
CT,2021,172
DE,2021,51
DC,2021,19
FL,2021,531
GA,2021,208
HI,2021,50
ID,2021,120
IL,2021,418
IN,2021,288
IA,2021,154
KS,2021,88
KY,2021,128
LA,2021,69
ME,2021,212
MD,2021,188
MA,2021,321
MI,2021,636
MN,2021,301
MS,2021,32
MO,2021,230
MT,2021,137
NE,2021,78
NV,2021,73
NH,2021,140
NJ,2021,198
NM,2021,155
NY,2021,720
NC,2021,544
ND,2021,34
OH,2021,525
OK,2021,95
OR,2021,441
PA,2021,712
RI,2021,52
SC,2021,149
SD,2021,63
TN,2021,205
TX,2021,581
UT,2021,55
VT,2021,111
VA,2021,447
WA,2021,667
WV,2021,38
WI,2021,374
WY,2021,56
AL,2022,84
AK,2022,75
AZ,2022,184
AR,2022,82
CA,2022,1571
CO,2022,614
CT,2022,176
DE,2022,54
DC,2022,21
FL,2022,571
GA,2022,234
HI,2022,52
ID,2022,129
IL,2022,436
IN,2022,295
IA,2022,166
KS,2022,92
KY,2022,138
LA,2022,75
ME,2022,227
MD,2022,200
MA,2022,340
MI,2022,670
MN,2022,314
MS,2022,33
MO,2022,249
MT,2022,139
NE,2022,82
NV,2022,72
NH,2022,156
NJ,2022,211
NM,2022,161
NY,2022,762
NC,2022,578
ND,2022,33
OH,2022,563
OK,2022,102
OR,2022,451
PA,2022,761
RI,2022,54
SC,2022,164
SD,2022,64
TN,2022,220
TX,2022,618
UT,2022,61
VT,2022,117
VA,2022,479
WA,2022,692
WV,2022,40
WI,2022,391
WY,2022,59
