StateID,Year,Quarter,TotalProd,TaxableBottlesCansProd,TaxableKegsProd,TaxablePremUseProd,TaxFreeExportProd,TaxFreePremUseProd,StocksOnHand
AL,2017,Q1,12509.21,,,7391.26,0.0,344.37,3982.18
AK,2017,Q1,43715.79,,13186.01,2997.92,,166.57,14848.42
AZ,2017,Q1,52463.72,17053.89,20569.06,12229.76,0.0,441.53,7532.53
AR,2017,Q1,6891.71,,1268.63,2943.13,0.0,,2572.32
CA,2017,Q1,5444732.26,3903765.36,530608.9,61436.38,,3995.94,1399457.4
CO,2017,Q1,5261661.95,4076636.35,355284.65,34950.78,95288.19,5178.65,1532859.57
CT,2017,Q1,50154.92,24707.9,49707.09,3683.26,,189.71,15794.3
DE,2017,Q1,,,,1953.38,0.0,0.0,
DC,2017,Q1,7268.83,,,2747.92,0.0,,3705.64
FL,2017,Q1,,,320346.41,28691.27,18824.42,2761.89,
GA,2017,Q1,3646709.74,2906111.49,140991.13,9859.03,,1192.61,886150.63
HI,2017,Q1,18112.36,,6191.8,1997.48,,,3604.31
ID,2017,Q1,9936.02,3430.59,3906.54,2038.08,0.0,,6829.55
IL,2017,Q1,340934.33,242399.31,56875.93,20255.44,,813.19,75268.39
IN,2017,Q1,49091.85,16816.01,16496.86,9345.24,0.0,460.47,15480.53
IA,2017,Q1,16197.24,967.34,3928.91,11695.9,0.0,119.39,6544.64
KS,2017,Q1,9071.91,,2167.79,2576.17,0.0,,1830.14
KY,2017,Q1,33800.42,20880.75,7653.4,6754.87,,,27930.15
LA,2017,Q1,56496.15,,16323.04,2752.34,,95.51,
ME,2017,Q1,65118.55,25951.54,25504.98,6452.83,0.0,915.32,29524.44
MD,2017,Q1,58407.13,28343.72,17116.69,5546.14,,532.96,21281.43
MA,2017,Q1,123187.4,48813.99,37005.13,16831.37,,456.27,38471.81
MI,2017,Q1,311872.24,162154.65,82566.17,28041.15,,1325.9,101612.28
MN,2017,Q1,148062.38,60716.43,37712.24,12921.34,0.0,490.92,65894.21
MS,2017,Q1,5140.06,,,1967.0,0.0,,1349.24
MO,2017,Q1,,,,6715.32,,556.58,
MT,2017,Q1,41759.67,15980.79,12158.7,7539.58,0.0,387.52,16599.81
NE,2017,Q1,11030.81,3203.44,3332.19,4586.99,,186.19,2727.31
NV,2017,Q1,8891.63,1540.65,2181.59,5348.93,0.0,,2634.53
NH,2017,Q1,,,,5230.31,,98.03,
NJ,2017,Q1,,,,9993.97,,631.08,
NM,2017,Q1,19475.59,6481.86,7204.81,3663.72,0.0,268.41,7719.11
NY,2017,Q1,2305640.13,1766076.24,121569.04,14326.27,46962.91,777.47,742424.36
NC,2017,Q1,307945.92,203514.49,72198.93,26087.01,,236.95,107588.82
ND,2017,Q1,2588.79,,,1101.38,0.0,,734.33
OH,2017,Q1,4856199.07,4247520.42,319931.79,16646.15,,623.97,952690.47
OK,2017,Q1,6623.55,,1725.87,2105.11,0.0,,2818.6
